Season/Team,player_id,season_starts,average_location,player_from,row_id,is_goalie
La Liga 2004/2005 Barcelona,25873,7,"[41.5205357142857, 28.65357142857143]",Oleguer Presas Renom,0,0
La Liga 2004/2005 Barcelona,17797,7,"[57.552577319587634, 12.253608247422678]",Giovanni van Bronckhorst,1,0
La Liga 2004/2005 Barcelona,19757,7,"[62.59255319148937, 42.02553191489363]",Anderson Luís de Souza,2,0
La Liga 2004/2005 Barcelona,25879,7,"[77.26146788990825, 32.58256880733944]",Ronaldo de Assis Moreira,3,0
La Liga 2004/2005 Barcelona,20176,6,"[13.588235294117645, 42.27450980392159]",Víctor Valdés Arribas,4,1
La Liga 2004/2005 Barcelona,25863,6,"[58.018518518518555, 70.08240740740739]",Juliano Haus Belletti,5,0
La Liga 2004/2005 Barcelona,20125,6,"[40.5049504950495, 50.504950495049535]",Carles Puyol i Saforcada,6,0
La Liga 2004/2005 Barcelona,5558,6,"[54.10434782608695, 40.78623188405797]",Rafael Márquez Álvarez,7,0
La Liga 2004/2005 Barcelona,20131,6,"[57.34043715846993, 43.96338797814207]",Xavier Hernández Creus,8,0
La Liga 2004/2005 Barcelona,19298,6,"[77.50799999999997, 34.16133333333332]",Samuel Eto''o Fils,9,0
La Liga 2004/2005 Barcelona,5216,5,"[64.98205128205126, 40.01794871794873]",Andrés Iniesta Luján,10,0
La Liga 2004/2005 Barcelona,1111111111,7,"[120, 40]",Shot,11,0
La Liga 2005/2006 Barcelona,20176,17,"[14.531858407079644, 41.21681415929204]",Víctor Valdés Arribas,0,1
La Liga 2005/2006 Barcelona,20125,17,"[40.321276595744706, 33.91418439716312]",Carles Puyol i Saforcada,1,0
La Liga 2005/2006 Barcelona,25873,15,"[50.428044280442776, 56.50811808118082]",Oleguer Presas Renom,2,0
La Liga 2005/2006 Barcelona,25879,15,"[75.3834710743802, 24.715702479338837]",Ronaldo de Assis Moreira,3,0
La Liga 2005/2006 Barcelona,5558,14,"[43.800647249190945, 49.03624595469257]",Rafael Márquez Álvarez,4,0
La Liga 2005/2006 Barcelona,19298,14,"[74.82317073170728, 43.14634146341462]",Samuel Eto''o Fils,5,0
La Liga 2005/2006 Barcelona,25910,13,"[53.361194029850715, 41.93097014925371]",José Edmílson Gomes de Moraes,6,0
La Liga 2005/2006 Barcelona,19757,13,"[63.73011152416355, 35.969144981412654]",Anderson Luís de Souza,7,0
