Season/Team,is_goalie,Passing,Receiving,Frequency,Passing_Sum_Frequency,Pass Probability,player_id_x,season_starts_x,average_location_x,row_id_x,player_id_y,season_starts_y,average_location_y,row_id_y
La Liga 2004/2005 Barcelona,0,Samuel Eto''o Fils,Andrés Iniesta Luján,22.0,153.0,0.14379085,19298,6,"[77.50799999999997, 34.16133333333332]",9,5216,5,"[64.98205128205126, 40.01794871794873]",10
La Liga 2004/2005 Barcelona,0,Andrés Iniesta Luján,Ronaldo de Assis Moreira,40.0,239.0,0.167364017,5216,5,"[64.98205128205126, 40.01794871794873]",10,25879,7,"[77.26146788990825, 32.58256880733944]",3
La Liga 2004/2005 Barcelona,0,Ronaldo de Assis Moreira,Giovanni van Bronckhorst,27.0,262.0,0.103053435,25879,7,"[77.26146788990825, 32.58256880733944]",3,17797,7,"[57.552577319587634, 12.253608247422678]",1
La Liga 2004/2005 Barcelona,0,Giovanni van Bronckhorst,Oleguer Presas Renom,40.0,243.0,0.164609053,17797,7,"[57.552577319587634, 12.253608247422678]",1,25873,7,"[41.5205357142857, 28.65357142857143]",0
La Liga 2004/2005 Barcelona,0,Oleguer Presas Renom,Carles Puyol i Saforcada,57.0,287.5,0.19826087,25873,7,"[41.5205357142857, 28.65357142857143]",0,20125,6,"[40.5049504950495, 50.504950495049535]",6
La Liga 2004/2005 Barcelona,0,Carles Puyol i Saforcada,Oleguer Presas Renom,57.0,236.0,0.241525424,20125,6,"[40.5049504950495, 50.504950495049535]",6,25873,7,"[41.5205357142857, 28.65357142857143]",0
La Liga 2004/2005 Barcelona,0,Oleguer Presas Renom,Ronaldo de Assis Moreira,16.0,287.5,0.055652174,25873,7,"[41.5205357142857, 28.65357142857143]",0,25879,7,"[77.26146788990825, 32.58256880733944]",3
La Liga 2004/2005 Barcelona,1,Víctor Valdés Arribas,Oleguer Presas Renom,29.0,115.0,0.252173913,20176,6,"[13.588235294117645, 42.27450980392159]",4,25873,7,"[41.5205357142857, 28.65357142857143]",0
La Liga 2004/2005 Barcelona,1,Víctor Valdés Arribas,Carles Puyol i Saforcada,17.0,115.0,0.147826087,20176,6,"[13.588235294117645, 42.27450980392159]",4,20125,6,"[40.5049504950495, 50.504950495049535]",6
La Liga 2004/2005 Barcelona,0,Carles Puyol i Saforcada,Juliano Haus Belletti,25.0,236.0,0.105932203,20125,6,"[40.5049504950495, 50.504950495049535]",6,25863,6,"[58.018518518518555, 70.08240740740739]",5
La Liga 2004/2005 Barcelona,0,Juliano Haus Belletti,Carles Puyol i Saforcada,18.0,239.0,0.075313808,25863,6,"[58.018518518518555, 70.08240740740739]",5,20125,6,"[40.5049504950495, 50.504950495049535]",6
