Season/Team,is_goalie,Passing,Receiving,Frequency,Passing_Sum_Frequency,Pass Probability,player_id_x,season_starts_x,average_location_x,row_id_x,player_id_y,season_starts_y,average_location_y,row_id_y,pass_completed,source,target,source_x,source_y,target_x,target_y
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Sergio Busquets i Burgos,256.0,1648.5,0.15529269,5503,33,"[76.28396674584323, 45.30712589073629]",1,5203,30,"[60.64644268774705, 41.794762845849824]",3,1.9101123595505618,Lionel Andrés Messi Cuccittini,Sergio Busquets i Burgos,0.6356997228820269,0.5663390736342035,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Clément Lenglet,168.0,675.5,0.248704663,20055,29,"[11.704034582132566, 39.61152737752163]",4,6826,28,"[48.21802325581388, 24.019534883720908]",6,1.250936329588015,Marc-André ter Stegen,Clément Lenglet,0.09753362151777138,0.4951440922190204,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Pedro González López,126.0,1700.0,0.074117647,6826,28,"[48.21802325581388, 24.019534883720908]",6,30486,26,"[70.47105643994209, 33.34645441389291]",7,0.9363295880149812,Clément Lenglet,Pedro González López,0.40181686046511567,0.3002441860465114,0.5872588036661841,0.4168306801736613
La Liga 2020/2021 Barcelona,0,Pedro González López,Marc-André ter Stegen,23.0,1234.0,0.018638574,30486,26,"[70.47105643994209, 33.34645441389291]",7,20055,29,"[11.704034582132566, 39.61152737752163]",4,0.1647940074906367,Pedro González López,Marc-André ter Stegen,0.5872588036661841,0.4168306801736613,0.09753362151777138,0.4951440922190204
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Jordi Alba Ramos,535.0,1700.0,0.314705882,6826,28,"[48.21802325581388, 24.019534883720908]",6,5211,33,"[64.3328934010153, 13.335837563451763]",0,4.0,Clément Lenglet,Jordi Alba Ramos,0.40181686046511567,0.3002441860465114,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Gerard Piqué Bernabéu,51.0,1802.0,0.028301887,5211,33,"[64.3328934010153, 13.335837563451763]",0,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.37453183520599254,Jordi Alba Ramos,Gerard Piqué Bernabéu,0.5361074450084609,0.16669796954314703,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Gerard Piqué Bernabéu,59.0,675.5,0.087342709,20055,29,"[11.704034582132566, 39.61152737752163]",4,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.4344569288389513,Marc-André ter Stegen,Gerard Piqué Bernabéu,0.09753362151777138,0.4951440922190204,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Marc-André ter Stegen,46.0,814.0,0.056511057,5213,18,"[44.90674157303369, 46.00134831460674]",10,20055,29,"[11.704034582132566, 39.61152737752163]",4,0.33707865168539325,Gerard Piqué Bernabéu,Marc-André ter Stegen,0.3742228464419474,0.5750168539325842,0.09753362151777138,0.4951440922190204
La Liga 2020/2021 Barcelona,1,Marc-André ter Stegen,Sergio Busquets i Burgos,62.0,675.5,0.091783864,20055,29,"[11.704034582132566, 39.61152737752163]",4,5203,30,"[60.64644268774705, 41.794762845849824]",3,0.45692883895131087,Marc-André ter Stegen,Sergio Busquets i Burgos,0.09753362151777138,0.4951440922190204,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Gerard Piqué Bernabéu,105.0,1855.0,0.056603774,5203,30,"[60.64644268774705, 41.794762845849824]",3,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.7790262172284644,Sergio Busquets i Burgos,Gerard Piqué Bernabéu,0.505387022397892,0.5224345355731228,0.3742228464419474,0.5750168539325842
