Season/Team,player_id,season_starts,average_location,player_from,row_id,is_goalie,x_pos_abs,y_pos_abs,x_pos_perc,y_pos_perc,name
La Liga 2020/2021 Barcelona,5211,33,"[64.3328934010153, 13.335837563451763]",Jordi Alba Ramos,0,0,64.3328934010153,13.335837563451763,0.5361074450084609,0.16669796954314703,Jordi Alba Ramos
La Liga 2020/2021 Barcelona,5503,33,"[76.28396674584323, 45.30712589073629]",Lionel Andrés Messi Cuccittini,1,0,76.28396674584323,45.30712589073629,0.6356997228820269,0.5663390736342035,Lionel Andrés Messi Cuccittini
La Liga 2020/2021 Barcelona,8118,32,"[60.19215876089059, 39.63969022265244]",Frenkie de Jong,2,0,60.19215876089059,39.63969022265244,0.5016013230074216,0.4954961277831555,Frenkie de Jong
La Liga 2020/2021 Barcelona,5203,30,"[60.64644268774705, 41.794762845849824]",Sergio Busquets i Burgos,3,0,60.64644268774705,41.794762845849824,0.505387022397892,0.5224345355731228,Sergio Busquets i Burgos
La Liga 2020/2021 Barcelona,20055,29,"[11.704034582132566, 39.61152737752163]",Marc-André ter Stegen,4,1,11.704034582132566,39.61152737752163,0.09753362151777138,0.4951440922190204,Marc-André ter Stegen
La Liga 2020/2021 Barcelona,5487,29,"[74.46686626746508, 37.307984031936144]",Antoine Griezmann,5,0,74.46686626746508,37.307984031936144,0.6205572188955423,0.4663498003992018,Antoine Griezmann
La Liga 2020/2021 Barcelona,6826,28,"[48.21802325581388, 24.019534883720908]",Clément Lenglet,6,0,48.21802325581388,24.019534883720908,0.40181686046511567,0.3002441860465114,Clément Lenglet
La Liga 2020/2021 Barcelona,30486,26,"[70.47105643994209, 33.34645441389291]",Pedro González López,7,0,70.47105643994209,33.34645441389291,0.5872588036661841,0.4168306801736613,Pedro González López
La Liga 2020/2021 Barcelona,21881,21,"[69.61120879120882, 64.02923076923081]",Sergino Dest,8,0,69.61120879120882,64.02923076923081,0.5800934065934069,0.8003653846153851,Sergino Dest
La Liga 2020/2021 Barcelona,43728,20,"[51.68424908424908, 57.95457875457874]",Óscar Mingueza García,9,0,51.68424908424908,57.95457875457874,0.4307020757020757,0.7244322344322343,Óscar Mingueza García
La Liga 2020/2021 Barcelona,5213,18,"[44.90674157303369, 46.00134831460674]",Gerard Piqué Bernabéu,10,0,44.90674157303369,46.00134831460674,0.3742228464419474,0.5750168539325842,Gerard Piqué Bernabéu
La Liga 2020/2021 Barcelona,1111111111,33,"[120, 40]",Shot,11,0,120.0,40.0,1.0,0.5,Shot
